BenchmarkReportRange/*main.AVLRope_reportRange_changePos_40000_30000:35000-8        	1000000000	         0.008587 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_40000_5000:10000-8       	1000000000	         0.001057 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_40000_10000:15000-8      	1000000000	         0.0001019 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_40000_20000:25000-8      	1000000000	         0.0005474 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_40000_30000:35000-8      	1000000000	         0.006996 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_80000_10000:20000-8        	1000000000	         0.006000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_80000_20000:30000-8        	1000000000	         0.006285 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_80000_40000:50000-8        	1000000000	         0.006014 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_80000_60000:70000-8        	1000000000	         0.001034 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_80000_10000:20000-8      	1000000000	         0.0006750 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_80000_20000:30000-8      	1000000000	         0.003019 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_80000_40000:50000-8      	1000000000	         0.002115 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_80000_60000:70000-8      	1000000000	         0.002038 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_120000_15000:30000-8       	1000000000	         0.005023 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_120000_30000:45000-8       	1000000000	         0.0005114 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_120000_60000:75000-8       	1000000000	         0.002002 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_changePos_120000_90000:105000-8      	1000000000	         0.001002 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_120000_15000:30000-8     	1000000000	         0.001002 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_changePos_120000_30000:45000-8     	1000000000	         0.004012 ns/op	       0 B/op	       0 allocs/op
