BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_200000-8       	1000000000	         0.001005 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_200000#01-8    	1000000000	         0.004041 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_200000#02-8    	1000000000	         0.002016 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_constLen_240000-8        	1000000000	         0.001005 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_240000-8         	1000000000	         0.005034 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_240000#01-8      	1000000000	         0.0006488 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_240000#02-8      	1000000000	         0.01124 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_constLen_240000-8      	1000000000	         0.005534 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_240000-8       	1000000000	         0.004007 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_240000#01-8    	1000000000	         0.002647 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_240000#02-8    	1000000000	         0.006598 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_constLen_280000-8        	1000000000	         0.009021 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_280000-8         	1000000000	         0.0008043 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_280000#01-8      	1000000000	         0.003039 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_280000#02-8      	1000000000	         0.001659 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_constLen_280000-8      	1000000000	         0.006000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_280000-8       	1000000000	         0.005003 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_280000#01-8    	1000000000	         0.005380 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_280000#02-8    	1000000000	         0.004059 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_constLen_320000-8        	1000000000	         0.0004652 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_320000-8         	1000000000	         0.0009922 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_320000#01-8      	1000000000	         0.0000650 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_320000#02-8      	1000000000	         0.005470 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_constLen_320000-8      	1000000000	         0.001162 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_320000-8       	1000000000	         0.002005 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_320000#01-8    	1000000000	         0.008778 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_320000#02-8    	1000000000	         0.01041 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_constLen_360000-8        	1000000000	         0.001558 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_360000-8         	1000000000	         0.002023 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_360000#01-8      	1000000000	         0.003621 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_360000#02-8      	1000000000	         0.001147 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_constLen_360000-8      	1000000000	         0.01026 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_360000-8       	1000000000	         0.001989 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_360000#01-8    	1000000000	         0.001672 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_360000#02-8    	1000000000	         0.009027 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_constLen_400000-8        	1000000000	         0.0009682 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_400000-8         	1000000000	         0.009017 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_400000#01-8      	1000000000	         0.007957 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_400000#02-8      	1000000000	         0.008128 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_constLen_400000-8      	1000000000	         0.002021 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_400000-8       	1000000000	         0.008084 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_400000#01-8    	1000000000	         0.001586 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_400000#02-8    	1000000000	         0.002131 ns/op	       0 B/op	       0 allocs/op

BenchmarkReportRange/*main.AVLRope_reportRange_constLen_40000-8         	1000000000	         0.0005348 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_40000-8          	1000000000	         0.0005365 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_40000#01-8       	1000000000	         0.0005364 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_40000#02-8       	1000000000	         0.0005495 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_constLen_40000-8       	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_40000-8        	1000000000	         0.003013 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_40000#01-8     	1000000000	         0.008042 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_40000#02-8     	1000000000	         0.001009 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_constLen_80000-8         	1000000000	         0.001001 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_80000-8          	1000000000	         0.01001 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_80000#01-8       	1000000000	         0.0002380 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_80000#02-8       	1000000000	         0.007120 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_constLen_80000-8       	1000000000	         0.002020 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_80000-8        	1000000000	         0.006998 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_80000#01-8     	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_80000#02-8     	1000000000	         0.001017 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_constLen_120000-8        	1000000000	         0.005074 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_120000-8         	1000000000	         0.007016 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_120000#01-8      	1000000000	         0.008008 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_120000#02-8      	1000000000	         0.01003 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_constLen_120000-8      	1000000000	         0.003825 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_120000-8       	1000000000	         0.006247 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_120000#01-8    	1000000000	         0.005040 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_120000#02-8    	1000000000	         0.007193 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_constLen_160000-8        	1000000000	         0.006008 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_160000-8         	1000000000	         0.005998 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_160000#01-8      	1000000000	         0.005187 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_160000#02-8      	1000000000	         0.004000 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_constLen_160000-8      	1000000000	         0.0001767 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_160000-8       	1000000000	         0.007101 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_160000#01-8    	1000000000	         0.006132 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_160000#02-8    	1000000000	         0.004037 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_constLen_200000-8        	1000000000	         0.001005 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_200000-8         	1000000000	         0.001891 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_200000#01-8      	1000000000	         0.006204 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_diffLen_200000#02-8      	1000000000	         0.005007 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_constLen_200000-8      	1000000000	         0.001007 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_200000-8       	1000000000	         0.004002 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_200000#01-8    	1000000000	         0.006027 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.GapBuffer_reportRange_diffLen_200000#02-8    	1000000000	         0.005016 ns/op	       0 B/op	       0 allocs/op
BenchmarkReportRange/*main.AVLRope_reportRange_constLen_240000-8        	1000000000	         0.007001 ns/op	       0 B/op	       0 allocs/op
