BenchmarkDelete/*main.AVLRope_delete_changePos_240000_30000:60000-8     	1000000000	         0.01647 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_240000_30000:90000-8       	1000000000	         0.02000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_240000_60000:90000-8     	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_240000_30000:150000-8      	1000000000	         0.009999 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_240000_120000:150000-8   	1000000000	         0.008293 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_240000_30000:210000-8      	1000000000	         0.009962 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_240000_180000:210000-8   	1000000000	         0.01056 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_240000_30000:239999-8      	1000000000	         0.008997 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_240000_210000:239999-8   	1000000000	         0.009969 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_240000_30000:60000-8     	1000000000	         0.01993 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_240000_30000:60000-8   	1000000000	         0.02067 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_240000_30000:90000-8     	1000000000	         0.02864 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_240000_60000:90000-8   	1000000000	         0.02705 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_240000_30000:150000-8    	1000000000	         0.01993 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_240000_120000:150000-8 	1000000000	         0.01562 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_240000_30000:210000-8    	1000000000	         0.01987 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_240000_180000:210000-8 	1000000000	         0.01053 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_240000_30000:239999-8    	1000000000	         0.02808 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_240000_210000:239999-8 	1000000000	         0.01215 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_280000_35000:70000-8       	1000000000	         0.02501 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_280000_35000:70000-8     	1000000000	         0.01815 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_280000_35000:105000-8      	1000000000	         0.01801 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_280000_70000:105000-8    	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_280000_35000:175000-8      	1000000000	         0.01700 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_280000_140000:175000-8   	1000000000	         0.01300 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_280000_35000:245000-8      	1000000000	         0.02400 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_280000_210000:245000-8   	1000000000	         0.02000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_280000_35000:279999-8      	1000000000	         0.01899 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_280000_245000:279999-8   	1000000000	         0.01400 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_280000_35000:70000-8     	1000000000	         0.02061 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_280000_35000:70000-8   	1000000000	         0.02055 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_280000_35000:105000-8    	1000000000	         0.02063 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_280000_70000:105000-8  	1000000000	         0.01992 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_280000_35000:175000-8    	1000000000	         0.02105 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_280000_140000:175000-8 	1000000000	         0.03500 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_280000_35000:245000-8    	1000000000	         0.03100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_280000_210000:245000-8 	1000000000	         0.02400 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_280000_35000:279999-8    	1000000000	         0.03054 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_280000_245000:279999-8 	1000000000	         0.01053 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_320000_40000:80000-8       	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_320000_40000:80000-8     	1000000000	         0.02006 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_320000_40000:120000-8      	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_320000_80000:120000-8    	1000000000	         0.01076 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_320000_40000:200000-8      	1000000000	         0.01719 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_320000_160000:200000-8   	1000000000	         0.02175 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_320000_40000:280000-8      	1000000000	         0.02628 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_320000_240000:280000-8   	1000000000	         0.02056 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_320000_40000:319999-8      	1000000000	         0.01520 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_320000_280000:319999-8   	1000000000	         0.01054 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_320000_40000:80000-8     	1000000000	         0.03205 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_320000_40000:80000-8   	1000000000	         0.02600 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_320000_40000:120000-8    	1000000000	         0.03701 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_320000_80000:120000-8  	1000000000	         0.04200 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_320000_40000:200000-8    	1000000000	         0.02124 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_320000_160000:200000-8 	1000000000	         0.02302 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_320000_40000:280000-8    	1000000000	         0.03053 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_320000_240000:280000-8 	1000000000	         0.01898 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_320000_40000:319999-8    	1000000000	         0.02600 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_320000_280000:319999-8 	1000000000	         0.02300 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_360000_45000:90000-8       	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_360000_45000:90000-8     	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_360000_45000:135000-8      	1000000000	         0.02400 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_360000_90000:135000-8    	1000000000	         0.02000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_360000_45000:225000-8      	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_360000_180000:225000-8   	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_360000_45000:315000-8      	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_360000_270000:315000-8   	1000000000	         0.01793 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_360000_45000:359999-8      	1000000000	         0.01300 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_360000_315000:359999-8   	1000000000	         0.01699 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_360000_45000:90000-8     	1000000000	         0.03600 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_360000_45000:90000-8   	1000000000	         0.02700 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_360000_45000:135000-8    	1000000000	         0.02200 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_360000_90000:135000-8  	1000000000	         0.02298 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_360000_45000:225000-8    	1000000000	         0.02900 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_360000_180000:225000-8 	1000000000	         0.03025 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_360000_45000:315000-8    	1000000000	         0.03100 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_360000_270000:315000-8 	1000000000	         0.03400 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_360000_45000:359999-8    	1000000000	         0.03302 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_360000_315000:359999-8 	1000000000	         0.02900 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_400000_50000:100000-8      	1000000000	         0.01302 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_400000_50000:100000-8    	1000000000	         0.01900 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_400000_50000:150000-8      	1000000000	         0.01999 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_400000_100000:150000-8   	1000000000	         0.01993 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_400000_50000:250000-8      	1000000000	         0.02878 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_400000_200000:250000-8   	1000000000	         0.02002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_400000_50000:350000-8      	1000000000	         0.01028 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_400000_300000:350000-8   	1000000000	         0.02398 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_400000_50000:399999-8      	1000000000	         0.01979 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_400000_350000:399999-8   	1000000000	         0.01973 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_400000_50000:100000-8    	1000000000	         0.02339 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_400000_50000:100000-8  	1000000000	         0.03114 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_400000_50000:150000-8    	1000000000	         0.02995 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_400000_100000:150000-8 	1000000000	         0.03055 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_400000_50000:250000-8    	1000000000	         0.03090 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_400000_200000:250000-8 	1000000000	         0.01978 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_400000_50000:350000-8    	1000000000	         0.03054 ns/op	       0 B/op	       0 allocs/op
