BenchmarkAppend/*main.AVLRope_Append_120000_90000-8       	1000000000	         0.002244 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_120000_105000-8      	1000000000	         0.01208 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_120000_120000-8      	1000000000	         0.01016 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_120000_2000-8      	1000000000	         0.02018 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_120000_15000-8     	1000000000	         0.008285 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_120000_30000-8     	1000000000	         0.009997 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_120000_60000-8     	1000000000	         0.006972 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_120000_90000-8     	1000000000	         0.006998 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_120000_105000-8    	1000000000	         0.01402 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_120000_120000-8    	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_160000_2000-8        	1000000000	         0.01109 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_160000_20000-8       	1000000000	         0.01098 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_160000_40000-8       	1000000000	         0.008002 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_160000_80000-8       	1000000000	         0.01462 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_160000_120000-8      	1000000000	         0.01202 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_160000_140000-8      	1000000000	         0.005010 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_160000_160000-8      	1000000000	         0.01018 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_2000-8      	1000000000	         0.01981 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_20000-8     	1000000000	         0.01543 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_40000-8     	1000000000	         0.01606 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_80000-8     	1000000000	         0.01101 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_120000-8    	1000000000	         0.01454 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_140000-8    	1000000000	         0.008000 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_160000_160000-8    	1000000000	         0.02400 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_2000-8        	1000000000	         0.008261 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_25000-8       	1000000000	         0.01033 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_50000-8       	1000000000	         0.007789 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_100000-8      	1000000000	         0.008766 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_150000-8      	1000000000	         0.01088 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_175000-8      	1000000000	         0.01099 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_200000_200000-8      	1000000000	         0.005319 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_2000-8      	1000000000	         0.02700 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_25000-8     	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_50000-8     	1000000000	         0.01609 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_100000-8    	1000000000	         0.01300 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_150000-8    	1000000000	         0.02602 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_175000-8    	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_200000-8    	1000000000	         0.01999 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_2000-8        	1000000000	         0.005027 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_30000-8       	1000000000	         0.008004 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_60000-8       	1000000000	         0.007478 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_120000-8      	1000000000	         0.01816 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_180000-8      	1000000000	         0.01400 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_210000-8      	1000000000	         0.009017 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_240000-8      	1000000000	         0.006011 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_240000_2000-8      	1000000000	         0.01799 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_240000_30000-8     	1000000000	         0.01398 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_240000_60000-8     	1000000000	         0.02098 ns/op	       0 B/op	       0 allocs/op
